Classroom,Infrastructure,Advisement,Food,Transportation,Finance,Work,Activities,Health
Reducing the number of exams but increasing the number of HW,Lower housing rent.,Make it easier to make appointments at Stamps,Healthier food options,Better public transportation,Reduce student fees,More RA/TA opportunities.,Fun activities/events,Healthier food options
Explaining the concepts of networking by showing code examples from system.,Better quality of housing,"Improved ECE advising/forms process (graduation, minors, etc)",Better quality of food,Increased shuttle/bus times and reliability,reduce parking fee on campus,More support for job search,More on campus activities for students,Increasing visibility and ease of using dining hallsHealthier food options
Better communication from course TAs and instructors.,More library space,Easy switch between the programs or disciplines if students lose their interest in their current program,More food options on campus,more stinger bus routes,reducing student fees,More support for job search,"Increase frequency of free, fun events put on for students",healthy food with reasonable price
Make class syllabi publicly available,,Better registration portal,Increasing visibility and ease of using dining hallsHealthier food options,better transportation,Lower the tuition and fee for out-of-state students.,less homework,Make friends with people whose major is not close to yours.,Healthier food options
"Revised testing format as a standard (take home, open book, open notes)",build another gym or recreation center,"Choose an area that you are most interested in, but do not be afraid of changing it.",Better food options in student centre,Free parking lots,lower student fees,More opportunities for job,Social events for students to get to know each other,Healthcare availability on weekends
less homework,Provide more monitors in library,Explore interesting things other than your major.,healthy food with reasonable price,More school bus,Reduce parking fee,More RA/TA opportunities.,Regular events for international students to know the America better,healthier foods on campus
more extra credit offered,Provide more books in library,better consultation,Better food,reduce parking fee on campus,1. Affordable tuition,Job related workshops and 1on 1 type advisor meetings and have industry mentors,More activities for grad students,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity."
less tests,Renovated campus housing,Provide help for career or researching experience.,Have more delicious food in canteen.,We can have free shared bikes or scooters for students to access in the campus,Lower the tuition and fee for out-of-state students.,Increased GRA pay,More outdoor events organized by different student societies.,"Existence of Heavy work load and CARE (which provides mental health service at GT) does seem that the management understands the relationship, but sad to see there is no solution they really address rather ""you have to make it work""."
"Exams should not have much weight, rather projects/assignment should carry more weightage as they have high learning",Larger gym,Quick response to the information consulting.,Increasing visibility and ease of using dining halls,Increased frequency of buses on campus,Discounted taxes for Student Employees,Increase opportunities for GRA/GTA roles in ECE department,More social events,More accessible free mental health help
Mode of conduct of lectures should be both in-person and remote in every course,Bigger gym.,Clear guide for new students to follow.,Healthier food options,Improved campus transportation system,Discounted laptops,Increase opportunities for GRA/GTA roles in ECE department,4. Interesting student events,Do more exercises as you can.
"Work really hard on assignments, quiz, and exams.",build another gym or recreation center,better looking OSCAR,Increase the varieties of food in dinning halls,More bus routes,Discounted taxes for Student Employees,More funding opportunities,More events for the students on campus,
Improve course and assignment quality.,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",3. Embrace Diversity,Better food options,More bike racks,More students coupons can use in daily life,More funding opportunities,More outdoor activities for students,
More classes should allow students to attend remotely as this course does.,2. More study space in library,4. Fostering a success-oriented mindset and sense of belonging,Reduced food prices for lunch options,More affordable parking permits,Cheaper accommodation,increase phd students' salary,More social activities,
More courses should provide lecture recordings for studentsâ€™ review.,More options for student housing,3. Psychological consultation system,Provide more food choices from more cultures in the canteen.,Free campus parking,Recreational activities and sports should be free of charge.,increased pay gra,Better homecoming performer selection,
More courses should publish lecture slides a night in advance so students can review material before lecture.,Provide more on-campus housing options for graduate students.,I think that registration should be easier.,More food option,Stress busting activities,Lower housing rent.,Increased number of on-campus employment opportunities for student,,
Grades should be provided more promptly so students can more quickly learn from their mistakes and understand their current grade standings.,Increasing number of seats in Library,Less e-mails,more Asian food on campus,Public transport,Lower housing rent.,,,
Optional problems to solve instead of presentations can help students in receiving extra credits since presentations are limited in number per class,Increased number of student housing to accommodate more students on-campus,More news about coming events,healthier foods on campus,Reduce parking fee,I think that the on campus housing should be cheaper.,,,
Practice sessions with practice problems before exams,Affordable Housing on-campus,supportive environment,Discounts on COSTCO for foods and gas,I think that there should be more food options on campus so that lines are shorter during busy times.,,,,
Some latest advancements can be covered in the lecture content,More than one gym to reduce crowding,Give more days off during the semester. We seriously need a break!,Free food.,Later bus schedule,,,,
"For courses that only offer 8 am class times, allow for later times in addition ",Safety on campus,Give students the full week of Thanksgiving off - some students live in different states and need to be able to visit family.,More on campus late night food options,More public transport,,,,
Course material recorded,More seating locations on campus,More ECE course options.,Improved access to university dinning halls and dining options for grad students,Better Transportation,,,,
Move all courses online,Create more study spaces on campus,Having additional advising for courses by people who are familiar with courses in the department (especially for grad students),5. Diverse food options,Better transportation from off campus areas to campus,,,,
Change exam formats or explore alternative syllabi for courses (math in particular),Better/more seating with access to outlet,Lesser number of minimum compulsory credits for international students,Free food provided,Reduce traffic on campus,,,,
Provide more industrial-related courses/projects.,Having umbrellas that can be borrowed on campus,Better course options,I think that there should be more food options on campus so that lines are shorter during busy times.,Better stinger service,,,,
Be more friendly for other major students to select CS major courses.,More crime prevention measures,Fewer required ECE undergrad class (such as 3005 or 2031),More free food,More traffic lights at crossroads in tech square,,,,
Open book exams,Better 4G/5G coverage,Better course options,More food options,hop-on campus golfcarts,,,,
"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",Add more public computing resources,more classes offered,Free food for grad students.,Improve road condition,,,,
"Create opportunities for students that better prepare them for the workplace. I mean, make this a key aspect of a student's academic career.",Safety on campus,More ECE course options.,There should be cheaper dining hall options on campus.,More convenient traffic in the campus,,,,
Less workload for classes,CULC + Crosland),Having additional advising for courses by people who are familiar with,Cheaper food,More resources for students who commute.,,,,
"wish to work on (of course with verification from the Professors and TA),in lieu of assignments ",Having umbrellas that can be borrowed on campus,Better course options,Better campus dining options,,,,,
Offer virtual office hours as well as in-person office hours in general for classes.,less noisy A/C units on buildings,Each grad student has1 advisor to know closely what is their academic progress,Make meal plans more flexible/affordable,,,,,
"Exams should not hold a lot of weightage, instead there should be multiple assignments for grading.",Increase in safety around campus,Help with course selection,increase more restaurant on campus,,,,,
All class recording should be available,Improve Wi-Fi speed,More variety of offered courses,increase more restaurant on campus,,,,,
Providing more projects that give a hands on experience to students.,A 'real' soccer court with two gates.,Improve Fall Course availability. (Spring has a lot of interesting courses and fall has very few),free ice cream on Fridays,,,,,
"Giving the students a few research papers to write a survey on, thus giving students more exposure to present day research in the domain",I think that the CULC roof should be open everyday.,2. Availability of more courses,better vending machines on campus,,,,,
better curriculum,I think that the architecture of new buildings should be less industrial.,"Give international (grad) students the flexibility to decide whether they want to take 3 or 4 courses during a semester. (Currently intl. students must take 4 courses every semester, which gets pretty hectic and is unreasonable. I mean, we could take 3+4+3 courses in three semesters as opposed to 4+2+2. You get what I mean.)",Free snacks,,,,,
Steps should be taken to spread out midterms such that a student does not have 3+ midterms in one week.,Better Wi-Fi coverage,Improve course registration system,Affordable meal options,,,,,
Please schedule office hours weekly on a regular basis,More areas on campus to study,Being able to easily register for courses from schools other than your own school,Affordable meal options,,,,,
More/Quick responsiveness on Piazza,More areas on campus to study,Fewer class requirements,,,,,,
Provide some reading materials before each lecture,Provide some dorms for the graduate-level students.,Making class registration process smoother so that everyone can register for their desired courses,,,,,,
"In assignments, provide the original questions",increase more restaurant on campus,Lesser num of compulsory creds internationals,,,,,,
Interactive sessions,Lower cirme rate,Giving opportunity to students to drop courses anytime during the semester without affecting their transcript,,,,,,
1. Create Opportunities to Engage With Alumni,More police presence around surrounding areas off campus in the evening,courses in the department (especially for grad students),,,,,,
5. Expanded access to experiential learning activities,Provide digital streaming services for all registered students,Adding more breaks/holidays during the semester normalizes students workload,,,,,,
discussion of research topics every once in a while (monthly),install camera in every classroom for lecture recording,"Existence of Heavy work load and CARE (which provides mental health service at GT) does seem that the management understands the relationship, but sad to see there is no solution they really address rather ""you have to make it work"".",,,,,,
I wish there could be some centralize system which could sync the assignment submission date that no two or three assignments due on same day,Reasonable arrangement of classrooms,Students should be allowed balance between work and life.,,,,,,
I wish there could be open project or lab proposal session where student could propose their interested lab or project that which,Classes should have more windows for ventilations.,,,,,,,
Fewer subjects per semester,Having more common spaces to do work on campus (in addition to,,,,,,,
More collaboration based assignment,easier access to MARTA,,,,,,,
I wish there could be open project or lab proposal session where student could propose their interested lab or project that which,,,,,,,,
Fewer subjects per semester,,,,,,,,
More collaboration based assignment,,,,,,,,
Explaining the concepts of networking by showing code examples from system.,,,,,,,,
Better communication from course TAs and instructors.,,,,,,,,
"Work really hard on assignments, quiz, and exams.",,,,,,,,
Less workload,,,,,,,,
Provide more hands-on experiments on networks,,,,,,,,
"In optional assignments, provide the solution by the professor or TA to help us understand",,,,,,,,
Reduce the workload (assignments) given to students to a reasonable level.,,,,,,,,
"Create opportunities for students that better prepare them for the workplace. I mean, make this a key aspect of a student's academic career.",,,,,,,,
Less workload for classes,,,,,,,,
lessen the assignments but encourage more research work for the graduate students,,,,,,,,
"wish to work on (of course with verification from the Professors and TA),in lieu of assignments ",,,,,,,,
Explaining the concepts of networking by showing code examples from system.,,,,,,,,
Provide more hands-on experiments on networks,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,Healthier food options
,,,,,,,,Healthcare availability on weekends
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,healthier foods on campus
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity."
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,"Existence of Heavy work load and CARE (which provides mental health service at GT) does seem that the management understands the relationship, but sad to see there is no solution they really address rather ""you have to make it work""."
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,More accessible free mental health help